                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.47298,                 0.3813,                0.90296,                 0.8974,                0.90495,                0.94144,                0.68772,                0.74728,                0.55395,                 1.0241,             0.00054463,             0.00054463,             0.00054463
                     59,                0.44981,                0.37696,                0.89801,                0.93637,                 0.8282,                0.94371,                0.67483,                0.79376,                0.62543,                 1.0488,             0.00053225,             0.00053225,             0.00053225
                     60,                0.48247,                0.38499,                0.90486,                 0.9318,                0.91557,                0.94085,                0.65234,                0.77513,                0.56446,                 1.0734,             0.00051988,             0.00051988,             0.00051988
                     61,                0.46544,                0.36337,                0.89423,                0.84515,                   0.87,                0.91763,                0.66185,                0.75253,                0.54058,                 1.0504,              0.0005075,              0.0005075,              0.0005075
                     62,                 0.4653,                0.37409,                0.89687,                0.92208,                0.88514,                0.93973,                0.70196,                0.75357,                0.56556,                 1.0534,             0.00049513,             0.00049513,             0.00049513
                     63,                0.46572,                0.36992,                0.89268,                0.88051,                 0.9075,                0.93526,                0.63391,                0.77883,                 0.5523,                 1.0643,             0.00048275,             0.00048275,             0.00048275
                     64,                0.46276,                0.36022,                0.89366,                0.84583,                0.86572,                0.90055,                 0.6507,                0.78939,                0.60136,                 1.0777,             0.00047038,             0.00047038,             0.00047038
                     65,                 0.4441,                 0.3532,                0.88431,                0.89701,                0.84153,                0.90634,                0.69398,                 0.7481,                0.62001,                 1.0418,               0.000458,               0.000458,               0.000458
                     66,                0.45061,                0.35897,                0.89043,                0.92896,                 0.8631,                0.93079,                0.65707,                0.79082,                0.59794,                 1.0781,             0.00044563,             0.00044563,             0.00044563
                     67,                0.44649,                 0.3619,                0.88333,                0.93742,                0.88183,                0.94135,                0.67836,                0.75025,                0.53613,                 1.0562,             0.00043325,             0.00043325,             0.00043325
                     68,                0.45405,                 0.3639,                0.89463,                0.95594,                0.93592,                0.95546,                0.68385,                 0.7538,                 0.4992,                  1.054,             0.00042087,             0.00042087,             0.00042087
                     69,                0.44046,                0.35771,                0.88991,                 0.9451,                0.88614,                0.94558,                0.71704,                0.76862,                0.51451,                 1.0582,              0.0004085,              0.0004085,              0.0004085
                     70,                0.43137,                0.34617,                 0.8813,                0.94956,                0.82505,                0.94835,                0.69759,                0.79474,                0.53803,                 1.0752,             0.00039613,             0.00039613,             0.00039613
                     71,                0.42626,                 0.3447,                 0.8864,                0.93416,                0.87796,                0.94098,                0.69159,                0.74268,                0.52946,                 1.0555,             0.00038375,             0.00038375,             0.00038375
                     72,                0.44316,                 0.3488,                0.88039,                0.93133,                0.85567,                0.92916,                0.70116,                0.74027,                0.54629,                 1.0449,             0.00037138,             0.00037138,             0.00037138
                     73,                0.41603,                0.32931,                0.87416,                0.84483,                0.85464,                0.90998,                0.65696,                0.74546,                0.58056,                 1.0422,               0.000359,               0.000359,               0.000359
                     74,                0.42013,                0.33417,                0.88298,                0.87263,                0.84414,                0.90963,                0.63106,                0.77668,                0.52258,                 1.0725,             0.00034663,             0.00034663,             0.00034663
                     75,                0.40926,                0.32576,                0.87936,                0.95521,                0.77503,                0.91317,                0.63423,                0.78413,                 0.6193,                 1.0836,             0.00033425,             0.00033425,             0.00033425
                     76,                0.42988,                0.33526,                0.88617,                0.92232,                0.87143,                0.94759,                 0.6549,                0.76954,                0.58217,                 1.0526,             0.00032188,             0.00032188,             0.00032188
                     77,                0.42109,                0.32801,                0.87919,                0.92276,                0.88608,                 0.9465,                0.68548,                0.76747,                 0.5484,                 1.0604,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.4168,                0.31982,                0.87394,                0.91805,                0.88501,                0.94735,                0.70293,                0.77651,                0.60172,                 1.0789,             0.00029713,             0.00029713,             0.00029713
                     79,                0.41001,                0.32268,                0.88098,                0.93438,                0.87064,                0.94966,                0.67163,                0.77257,                0.57704,                 1.0656,             0.00028475,             0.00028475,             0.00028475
                     80,                0.40059,                0.31928,                0.87227,                0.95926,                0.84321,                0.95551,                0.67299,                0.77997,                0.56443,                 1.0787,             0.00027237,             0.00027237,             0.00027237
                     81,                0.39943,                0.31483,                0.87935,                0.92387,                0.85175,                0.94923,                 0.6869,                0.76971,                0.55414,                 1.0791,                0.00026,                0.00026,                0.00026
                     82,                0.39235,                0.31235,                0.87573,                 0.8884,                0.84443,                0.94566,                0.70671,                0.73561,                0.56003,                 1.0461,             0.00024762,             0.00024762,             0.00024762
                     83,                0.39769,                0.32092,                0.87909,                0.92811,                0.82354,                0.94739,                0.66379,                0.77128,                0.58257,                 1.0538,             0.00023525,             0.00023525,             0.00023525
                     84,                0.40998,                0.32058,                0.88445,                0.92494,                0.85089,                0.93604,                0.65708,                0.75432,                 0.5608,                 1.0535,             0.00022288,             0.00022288,             0.00022288
                     85,                0.39601,                0.32132,                0.87578,                0.91598,                0.82596,                0.94098,                0.65651,                0.74704,                0.55508,                 1.0508,              0.0002105,              0.0002105,              0.0002105
                     86,                0.37799,                0.29894,                0.86448,                0.93326,                0.87734,                0.94891,                0.66034,                0.74487,                 0.5481,                 1.0429,             0.00019813,             0.00019813,             0.00019813
                     87,                0.37565,                0.30585,                 0.8685,                0.90694,                0.85258,                0.93828,                0.67168,                0.75241,                0.58219,                 1.0535,             0.00018575,             0.00018575,             0.00018575
                     88,                0.38601,                0.30709,                 0.8702,                0.87423,                0.83992,                0.94935,                0.66308,                0.74945,                0.55116,                 1.0616,             0.00017338,             0.00017338,             0.00017338
                     89,                0.38547,                0.30384,                0.87029,                0.88186,                0.83782,                0.94989,                0.69785,                0.73216,                0.58911,                 1.0492,               0.000161,               0.000161,               0.000161
                     90,                0.38091,                0.29357,                0.86597,                0.92724,                0.84711,                0.94304,                0.65336,                0.75511,                0.58224,                 1.0652,             0.00014862,             0.00014862,             0.00014862
                     91,                0.31085,                0.24333,                 0.8224,                0.92053,                0.84492,                0.93463,                0.66512,                0.73437,                 0.5703,                 1.0324,             0.00013625,             0.00013625,             0.00013625
                     92,                0.31081,                0.24079,                0.81745,                0.85343,                0.85148,                0.92585,                0.65282,                0.73667,                0.56138,                 1.0448,             0.00012387,             0.00012387,             0.00012387
                     93,                0.30569,                0.23581,                0.81769,                0.82109,                0.85157,                0.90988,                0.65649,                0.72688,                0.54408,                 1.0394,              0.0001115,              0.0001115,              0.0001115
                     94,                0.29759,                0.22917,                0.81163,                 0.8354,                0.80807,                0.93597,                0.67099,                0.71949,                0.58917,                 1.0431,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.29672,                0.23281,                0.81648,                0.83719,                0.82637,                 0.9231,                0.66176,                 0.7366,                0.57805,                 1.0543,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.29467,                0.22983,                0.81536,                0.88873,                0.82322,                0.95238,                0.66893,                0.74075,                0.55625,                 1.0535,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.29128,                0.22946,                0.81369,                0.90633,                0.82624,                0.95003,                0.67365,                0.74127,                 0.5511,                 1.0537,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.28477,                0.22234,                0.81501,                0.86027,                0.82847,                0.95023,                0.65073,                0.74512,                0.55624,                 1.0551,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.28928,                0.22518,                0.80933,                 0.8525,                 0.8317,                0.94998,                0.66542,                0.73993,                0.55477,                 1.0513,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.28779,                0.22175,                0.81347,                0.86878,                0.84335,                 0.9508,                0.67125,                0.73219,                0.54473,                 1.0496,             2.4875e-05,             2.4875e-05,             2.4875e-05
